Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
0.16,-0.93,1.54,0.96,1.99,0.022,0.0016,-0.0093,0.0154,0.0096,0.0199,0.00022
0.02,0.12,0.21,0.79,0.63,0.022,0.0002,0.0012,0.0021,0.0079,0.0063,0.00022
1.11,-1.26,-0.01,0.14,-1.17,0.022,0.0111,-0.0126,-0.0001,0.0014,-0.0117,0.00022
0.89,-0.46,0.23,-0.67,0.01,0.022,0.0089,-0.0046,0.0023,-0.0067,0.0001,0.00022
1.16,-0.08,-0.73,-0.43,-0.62,0.022,0.0116,-0.0008,-0.0073,-0.0043,-0.0062,0.00022
0.1,-0.39,1.08,0.56,0.41,0.022,0.001,-0.0039,0.0108,0.0056,0.0041,0.00022
-0.6,0.46,0.06,-0.16,-0.05,0.022,-0.006,0.0046,0.0006,-0.0016,-0.0005,0.00022
-1.03,-0.11,1.18,1.15,0.98,0.022,-0.0103,-0.0011,0.0118,0.0115,0.0098,0.00022
0.86,0.25,0.26,0.36,0.5,0.022,0.0086,0.0025,0.0026,0.0036,0.005,0.00022
1.24,-0.38,-0.4,-0.37,-0.02,0.022,0.0124,-0.0038,-0.004,-0.0037,-0.0002,0.00022
-0.46,-0.05,0.05,-0.24,-0.17,0.022,-0.0046,-0.0005,0.0005,-0.0024,-0.0017,0.00022
-0.18,0.63,-0.2,-0.56,-0.31,0.022,-0.0018,0.0063,-0.002,-0.0056,-0.0031,0.00022
1.12,-0.59,-0.6,-0.74,-0.44,0.022,0.0112,-0.0059,-0.006,-0.0074,-0.0044,0.00022
-0.28,0.09,0.03,-0.35,-0.04,0.022,-0.0028,0.0009,0.0003,-0.0035,-0.0004,0.00022
0.4,-0.19,-0.49,0.16,-0.13,0.022,0.004,-0.0019,-0.0049,0.0016,-0.0013,0.00022
-0.01,0.1,0.09,-0.2,-0.03,0.022,-0.0001,0.001,0.0009,-0.002,-0.0003,0.00022
0.55,-0.25,-1.02,-0.43,-0.33,0.022,0.0055,-0.0025,-0.0102,-0.0043,-0.0033,0.00022
0.34,0.43,-0.47,-0.72,0.18,0.022,0.0034,0.0043,-0.0047,-0.0072,0.0018,0.00022
-0.04,0.59,-0.46,-0.24,0.23,0.022,-0.0004,0.0059,-0.0046,-0.0024,0.0023,0.00022
0.49,-0.24,-0.11,-0.18,-0.39,0.022,0.0049,-0.0024,-0.0011,-0.0018,-0.0039,0.00022
-0.03,0.64,-0.24,-0.3,-0.34,0.022,-0.0003,0.0064,-0.0024,-0.003,-0.0034,0.00022
-0.11,0.59,-0.01,-1.02,-0.12,0.022,-0.0011,0.0059,-0.0001,-0.0102,-0.0012,0.00022
1.19,0.01,-0.65,-0.38,-0.25,0.022,0.0119,0.0001,-0.0065,-0.0038,-0.0025,0.00022
0.38,0.14,-0.35,-0.56,-0.13,0.025,0.0038,0.0014,-0.0035,-0.0056,-0.0013,0.00025
-0.97,0.32,1.33,0.38,0.55,0.025,-0.0097,0.0032,0.0133,0.0038,0.0055,0.00025
-1.23,0.47,2.01,1.09,0.96,0.025,-0.0123,0.0047,0.0201,0.0109,0.0096,0.00025
0.8,0.34,-0.72,0.02,-0.33,0.025,0.008,0.0034,-0.0072,0.0002,-0.0033,0.00025
-0.83,-0.33,0.9,1.21,1.25,0.025,-0.0083,-0.0033,0.009,0.0121,0.0125,0.00025
-0.45,-0.3,1.43,0.85,0.85,0.025,-0.0045,-0.003,0.0143,0.0085,0.0085,0.00025
-0.5,0.41,-0.08,0.61,0.68,0.025,-0.005,0.0041,-0.0008,0.0061,0.0068,0.00025
0.29,-0.29,-0.15,-0.8,-0.33,0.025,0.0029,-0.0029,-0.0015,-0.008,-0.0033,0.00025
