"","V1"
"2050",0.01364815
"2051",0.006824092
"2052",-0.0009898671
"2053",-0.009052093
"2054",-0.0275334
"2055",0.0004434102
"2056",-0.003543586
"2057",0.005134655
"2058",-0.02234986
"2059",-0.008535928
"2060",-0.01567429
"2061",0.03636713
"2062",-0.009126278
"2063",0.005023823
"2064",-0.02109227
"2065",-0.009089054
"2066",0.0414449
"2067",-0.024677
"2068",0.02357229
"2069",0.01511524
"2070",0.002211247
"2071",-0.008894405
"2072",-0.01161666
"2073",-0.008071957
"2074",0.005581135
"2075",0.03518709
"2076",-0.002015943
"2077",0.001220792
"2078",0.0007156791
"2079",0.001480381
"2080",-0.005193083
"2081",-0.008204991
"2082",0.004384073
"2083",-0.0206646
"2084",-0.003469523
"2085",0.00450933
"2086",0.02235765
"2087",0.0005427208
"2088",0.01789645
"2089",-0.001634733
"2090",-0.008929274
"2091",0.002815721
"2092",0.006341614
"2093",0.006393737
"2094",-0.001132155
"2095",-0.003976273
"2096",-0.003933718
"2097",0.01691547
"2098",0.003150375
"2099",-0.004623891
"2100",0.007542806
"2101",-0.01835985
"2102",0.003582836
"2103",-0.006828166
"2104",0.01088049
"2105",-0.0004647454
"2106",0.003917583
"2107",0.01044884
"2108",0.001169618
"2109",0.0008176424
"2110",-0.009396857
"2111",-0.01626379
"2112",0.00253396
"2113",-0.01337843
"2114",0.006742893
"2115",0.003875059
"2116",0.005240757
"2117",0.001435018
"2118",-0.01063982
"2119",-0.005884642
"2120",-0.0004067496
"2121",0.01922854
"2122",-0.03145634
"2123",0.0007133736
"2124",-0.002521049
"2125",-0.01711868
"2126",0.003194332
"2127",0.01485419
"2128",8.6699999999999e-07
"2129",-0.006874363
"2130",-0.009839291
"2131",0.003665302
"2132",-0.01879693
"2133",-2.692879e-05
"2134",-0.002898811
"2135",0.005746401
"2136",-0.02988502
"2137",-0.003804356
"2138",0.001186423
"2139",0.003758626
"2140",-0.01844134
"2141",0.001023324
"2142",-0.00849079
"2143",0.01686612
"2144",-0.02310956
"2145",0.006895437
"2146",-0.0112219
"2147",-0.009138857
"2148",-0.01103111
"2149",0.0246846
"2150",0.01187098
"2151",0.0002156866
"2152",-0.0006095798
"2153",0.01333186
"2154",0.00398593
"2155",-0.02346599
"2156",0.004088848
"2157",-0.01884165
"2158",0.02301743
"2159",0.01646454
"2160",-0.0133009
"2161",-0.005654012
"2162",-0.009066524
"2163",0.02825409
"2164",0.003288736
"2165",-0.0181565
"2166",0.02355187
"2167",0.006858741
"2168",-0.01218387
"2169",-0.002979922
"2170",0.005446612
"2171",0.004007649
"2172",-0.01527294
"2173",-0.009418558
"2174",0.006118207
"2175",0.002431857
"2176",0.01120894
"2177",-0.01988057
"2178",0.003619594
"2179",0.007890961
"2180",0.01467111
"2181",-0.01387871
"2182",-0.004170912
"2183",-0.002107152
"2184",-0.03044886
"2185",0.004350978
"2186",0.02023266
"2187",-0.03480449
"2188",0.006060592
"2189",0.01364194
"2190",0.002049287
"2191",-0.04835298
"2192",0.01730153
"2193",-0.04835803
"2194",0.04235881
"2195",0.03939738
"2196",-0.0390568
"2197",-0.01582611
"2198",-0.002049686
"2199",0.01939581
"2200",0.003306722
"2201",-0.09225959
"2202",0.05268816
"2203",-0.004594343
"2204",-0.04116495
"2205",-0.01363857
"2206",-0.03931927
"2207",-0.05914779
"2208",-0.01143741
"2209",-0.07926406
"2210",-0.01186898
"2211",0.109532
"2212",-0.00537635
"2213",-0.09473512
"2214",0.04158882
"2215",-0.006272206
"2216",0.04654288
"2217",-0.03132399
"2218",-0.06299308
"2219",0.0125149
"2220",-0.03516078
"2221",-0.03231979
"2222",0.1024174
"2223",-0.01118091
"2224",0.02543665
"2225",0.01520855
"2226",-0.002542248
"2227",0.04000448
"2228",-0.05412526
"2229",-0.05158121
"2230",0.02843618
"2231",-0.0127439
"2232",-0.0222972
"2233",-0.05329887
"2234",0.06691259
"2235",-0.04260349
"2236",-0.02615935
"2237",0.00978029
"2238",-0.0631155
"2239",-0.06949185
"2240",0.061318
"2241",0.06270423
"2242",0.006519414
