Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
0.0396,-0.0117,0.0094,-0.0082,0.0119,0.0042,3.96,-1.17,0.94,-0.82,1.19,0.42
0.0103,0.0067,0.0087,-0.0133,0.0299,0.0049,1.03,0.67,0.87,-1.33,2.99,0.49
0.0226,-0.0259,0.003,-0.0064,0.0228,0.0043,2.26,-2.59,0.3,-0.64,2.28,0.43
0.0133,0.0182,-0.0142,0.004,-0.018,0.0039,1.33,1.82,-1.42,0.4,-1.8,0.39
0.0073,0.0154,0.0101,0.013,-0.0097,0.0039,0.73,1.54,1.01,1.3,-0.97,0.39
0.0206,0.0464,-0.0391,0.0018,-0.022,0.0046,2.06,4.64,-3.91,0.18,-2.2,0.46
0.0236,0.0317,-0.012,0.0043,-0.0022,0.0042,2.36,3.17,-1.2,0.43,-0.22,0.42
-0.0114,-0.0347,0.0156,0.0346,0.0109,0.004,-1.14,-3.47,1.56,3.46,1.09,0.4
-0.0597,-0.0368,0.0445,0.0283,0.026,0.0045,-5.97,-3.68,4.45,2.83,2.6,0.45
0.0277,0.0254,-0.0046,-0.003,-0.0242,0.0041,2.77,2.54,-0.46,-0.3,-2.42,0.41
0.0501,-0.0133,-0.0315,0.0151,-0.0218,0.0044,5.01,-1.33,-3.15,1.51,-2.18,0.44
0.0086,-0.0388,0.0512,0.0132,0.0298,0.0042,0.86,-3.88,5.12,1.32,2.98,0.42
0.0625,-0.0378,0.0116,0.02,-0.0073,0.0041,6.25,-3.78,1.16,2,-0.73,0.41
-0.017,0.0321,0.0088,0.0054,0.0151,0.0046,-1.7,3.21,0.88,0.54,1.51,0.46
0.0498,-0.0182,-0.0164,0.0131,-0.0028,0.0045,4.98,-1.82,-1.64,1.31,-0.28,0.45
-0.0049,-0.0253,0.0519,0.0068,0.0342,0.0039,-0.49,-2.53,5.19,0.68,3.42,0.39
-0.0502,-0.0048,0.0381,0.0036,0.0166,0.0043,-5.02,-0.48,3.81,0.36,1.66,0.43
0.0404,-0.0573,-0.0007,0.0325,-0.0089,0.0043,4.04,-5.73,-0.07,3.25,-0.89,0.43
0.0674,0.0465,-0.0387,-0.0097,-0.0291,0.0049,6.74,4.65,-3.87,-0.97,-2.91,0.49
0.041,0.0126,0.0123,0.0101,0.0055,0.0037,4.1,1.26,1.23,1.01,0.55,0.37
0.0733,-0.0284,0.0082,-0.0024,-0.0256,0.0043,7.33,-2.84,0.82,-0.24,-2.56,0.43
-0.0415,0.0766,0.0138,-0.0093,-0.0002,0.0041,-4.15,7.66,1.38,-0.93,-0.02,0.41
0.0535,0.0256,0.0001,-0.0139,-0.0093,0.0044,5.35,2.56,0.01,-1.39,-0.93,0.44
-0.038,-0.0051,0.0195,0.0109,0.0187,0.0042,-3.8,-0.51,1.95,1.09,1.87,0.42
0.0298,-0.0503,0.0079,0.0307,0.0166,0.0039,2.98,-5.03,0.79,3.07,1.66,0.39
0.0132,-0.0201,0.0345,0.0119,0.0192,0.0048,1.32,-2.01,3.45,1.19,1.92,0.48
0.0015,-0.0141,-0.0145,0.0046,-0.0085,0.0043,0.15,-1.41,-1.45,0.46,-0.85,0.43
0.0704,-0.0002,-0.0013,-0.0086,-0.0241,0.0039,7.04,-0.02,-0.13,-0.86,-2.41,0.39
0.0476,-0.0065,0.0105,-0.0102,-0.0047,0.0039,4.76,-0.65,1.05,-1.02,-0.47,0.39
0.0073,-0.0002,0.0074,-0.0213,-0.0023,0.0043,0.73,-0.02,0.74,-2.13,-0.23,0.43
